"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Tang 1 - Unit test","0","FR-03 Khuyen mai","8","0","Bang quyet dinh","0"
"0","Tang 1 - Unit test","0","FR-02 Gio hang","8","0","","0"
"0","Tang 1 - Unit test","0","FR-04 Thanh toan","15","0","","0"
"0","Tang 1 - Unit test","0","FR-01 Dang nhap","7","0","","0"
"0","Tang 1 - Unit test","0","FR-06 Rational","13","0","","0"
"0","Tang 1 - Unit test","0","FR-03 Khuyen mai","7","0","","0"
"0","Tang 1 - Unit test","0","FR-06 Calculator","2","0","Phep cong","0"
"0","Tang 1 - Unit test","0","FR-06 Calculator","4","0","","0"
